Symptoms,Main Category,Subcategory
frontotemporal,(*likely frontotemporal dementia?*),Neurological
inguinal,(*possibly inguinal hernia?),Condition or Disease
umbilical,(*possibly umbilical hernia?),Condition or Disease
genital,(*unclear alone*),
femoral,(*unclear/no context*),
frequent sneezing,Allergy & Hypersensitivity,Sneeze
hypersensitivity,Allergy & Hypersensitivity,General
urticaria,Allergy & Hypersensitivity,Hives
anaphylaxis,Allergy & Hypersensitivity,Severe Reaction
food allergy,Allergy & Hypersensitivity,Food
hives,Allergy & Hypersensitivity,Urticaria
angioedema,Allergy & Hypersensitivity,Swelling
lip swelling,Allergy & Hypersensitivity,Angioedema
swollen tongue,Allergy & Hypersensitivity,Angioedema
hay fever,Allergy & Hypersensitivity,Rhinitis
lip swelling,Allergy & Hypersensitivity,Angioedema
supra ventricular tachycardia,Cardiovascular,Arrhythmia
drop in blood pressure upon standing,Cardiovascular,Orthostatic Hypotension
tachycardia,Cardiovascular,Fast Heart Rate
elevated heart rate,Cardiovascular,Tachycardia
high blood pressure,Cardiovascular,Hypertension
blue skin,Cardiovascular,Cyanosis
blue lips,Cardiovascular,Cyanosis
hypertension,Cardiovascular,High Blood Pressure
hypotension,Cardiovascular,Low Blood Pressure
low blood pressure,Cardiovascular,Hypotension
ectopic beats,Cardiovascular,Arrhythmia
chest pain,Cardiovascular,Chest Symptom
cyanosis,Cardiovascular,Oxygenation
irregular heartbeat,Cardiovascular,Arrhythmia
postural tachycardia syndrome,Cardiovascular,Orthostatic
chest pain,Cardiovascular,Chest Symptom
arrhythmia,Cardiovascular,Heart Rhythm
weak pulse,Cardiovascular,Low Pulse Pressure
postural tachycardia syndrome,Cardiovascular,Orthostatic
angina,Cardiovascular,Chest Pain
abnormally slow pulse,Cardiovascular,Bradycardia
bradycardia,Cardiovascular,Slow Pulse
heart palpitations,Cardiovascular,Palpitations
varicose veins,Cardiovascular,Venous
low blood pressure,Cardiovascular,Hypotension
heart rhythm problems,Cardiovascular,Arrhythmia
acrocyanosis,Cardiovascular,Circulatory Sign
heart pain,Cardiovascular,Chest Pain
ankle swelling,Cardiovascular or Musculoskeletal,Edema
leg swelling,Cardiovascular or Musculoskeletal,Edema
leg swelling,Cardiovascular or Musculoskeletal,Edema
chest discomfort,Cardiovascular or Respiratory,Chest Symptom
chest discomfort,Cardiovascular or Respiratory,Chest Symptom
crackles on lung auscultation,Clinical Sign,Respiratory
heart attack,Condition or Disease,Cardiovascular
heart block,Condition or Disease,Cardiovascular
heart disease,Condition or Disease,Cardiovascular
heart failure,Condition or Disease,Cardiovascular
kawasaki disease,Condition or Disease,Pediatric/Autoimmune
joint hyper mobility syndrome,Condition or Disease,Musculoskeletal
kidney cancer,Condition or Disease,Oncology
hydrocephalus,Condition or Disease,Neurological
isoelectric academia,Condition or Disease,Metabolic
heart valve problems,Condition or Disease,Cardiovascular
irritable hip,Condition or Disease,Musculoskeletal
heat exhaustion,Condition or Disease,Environmental
heatstroke,Condition or Disease,Environmental
henoch schonlein purpura,Condition or Disease,Autoimmune/Vascular
japanese encephalitis,Condition or Disease,Infectious
hepatitis,Condition or Disease,Hepatic/Inflammation
head lice,Condition or Disease,Infestation
kidney failure,Condition or Disease,Renal
gonorrhoea,Condition or Disease,Infectious (STI)
gout,Condition or Disease,Musculoskeletal
granulomatosis with polyangiitis,Condition or Disease,Autoimmune/Vascular
group b strep,Condition or Disease,Infectious
labial fusion,Condition or Disease,Reproductive
guillain barre syndrome,Condition or Disease,Neurological
head cancer,Condition or Disease,Oncology
